Response,Percentage (%),Lower CI (%),Upper CI (%)
Strongly disagree,3.6,2.4,5.2
Somewhat disagree,10.4,8.3,12.8
Somewhat agree,49,45.5,52.5
Strongly agree,36.9,32.7,41.3
