Response,Percentage (%),Lower CI (%),Upper CI (%)
Much less strict,0.5,0.1,1.1
Somewhat less strict,5.5,3.7,7.6
Same standards,35.8,30.9,40.3
Somewhat stricter,29.3,26.3,32.4
Much stricter,28.8,24.3,34.9
